YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2019-05,WEEKENDS/HOLIDAY,11,TRAIN,NS7,8170,10368
2019-05,WEEKDAY,11,TRAIN,NS7,17292,14070
2019-05,WEEKENDS/HOLIDAY,16,TRAIN,SW4,520,493
2019-05,WEEKDAY,16,TRAIN,SW4,806,825
2019-05,WEEKENDS/HOLIDAY,10,TRAIN,CC5,1532,2010
2019-05,WEEKDAY,10,TRAIN,CC5,2938,4483
2019-05,WEEKENDS/HOLIDAY,13,TRAIN,CC23,2143,2369
2019-05,WEEKDAY,13,TRAIN,CC23,15654,20061
2019-05,WEEKENDS/HOLIDAY,22,TRAIN,EW33,884,2388
2019-05,WEEKDAY,22,TRAIN,EW33,1231,2624
2019-05,WEEKDAY,14,TRAIN,CC21,8992,8843
2019-05,WEEKENDS/HOLIDAY,14,TRAIN,CC21,5223,4945
2019-05,WEEKDAY,18,TRAIN,EW24-NS1,268617,217489
2019-05,WEEKENDS/HOLIDAY,18,TRAIN,EW24-NS1,58713,63267
2019-05,WEEKENDS/HOLIDAY,7,TRAIN,NE10,4274,3115
2019-05,WEEKDAY,7,TRAIN,NE10,29830,41040
2019-05,WEEKDAY,8,TRAIN,EW22,18884,82676
2019-05,WEEKENDS/HOLIDAY,8,TRAIN,EW22,2361,3283
2019-05,WEEKDAY,14,TRAIN,CC16,11090,8238
2019-05,WEEKENDS/HOLIDAY,14,TRAIN,CC16,4704,3851
2019-05,WEEKDAY,10,TRAIN,EW11,25344,23823
2019-05,WEEKENDS/HOLIDAY,10,TRAIN,EW11,11179,9507
2019-05,WEEKDAY,6,TRAIN,CC1-NE6-NS24,4217,12229
2019-05,WEEKENDS/HOLIDAY,6,TRAIN,CC1-NE6-NS24,1564,2563
2019-05,WEEKENDS/HOLIDAY,0,TRAIN,EW19,30,239
2019-05,WEEKDAY,0,TRAIN,EW19,49,441
2019-05,WEEKDAY,10,TRAIN,EW21,5133,7579
2019-05,WEEKENDS/HOLIDAY,10,TRAIN,CC22,4173,3944
2019-05,WEEKDAY,10,TRAIN,CC22,7743,13792
2019-05,WEEKENDS/HOLIDAY,10,TRAIN,EW21,4300,4314
